"2006.amta-papers.24","W15-5949","1"
"W15-5949","2006.amta-papers.24","1"
"2019.ccnlg-1.6","2020.coling-main.196","0.2"
"2020.coling-main.196","2019.ccnlg-1.6","0.2"
"2019.ccnlg-1.6","2020.lrec-1.722","1.2"
"2020.lrec-1.722","2019.ccnlg-1.6","1.2"
"2019.ccnlg-1.6","2021.bea-1.6","0.2"
"2021.bea-1.6","2019.ccnlg-1.6","0.2"
"2019.ccnlg-1.6","2021.nlp4posimpact-1.1","0.2"
"2021.nlp4posimpact-1.1","2019.ccnlg-1.6","0.2"
"2019.ccnlg-1.6","U19-1021","0.2"
"U19-1021","2019.ccnlg-1.6","0.2"
"2020.coling-main.196","2020.lrec-1.722","1.2"
"2020.lrec-1.722","2020.coling-main.196","1.2"
"2020.coling-main.196","2021.bea-1.6","0.2"
"2021.bea-1.6","2020.coling-main.196","0.2"
"2020.coling-main.196","2021.nlp4posimpact-1.1","0.2"
"2021.nlp4posimpact-1.1","2020.coling-main.196","0.2"
"2020.coling-main.196","U19-1021","0.2"
"U19-1021","2020.coling-main.196","0.2"
"2020.lrec-1.722","2021.bea-1.6","0.2"
"2021.bea-1.6","2020.lrec-1.722","0.2"
"2020.lrec-1.722","2021.nlp4posimpact-1.1","0.2"
"2021.nlp4posimpact-1.1","2020.lrec-1.722","0.2"
"2020.lrec-1.722","U19-1021","0.2"
"U19-1021","2020.lrec-1.722","0.2"
"2021.bea-1.6","2021.nlp4posimpact-1.1","0.2"
"2021.nlp4posimpact-1.1","2021.bea-1.6","0.2"
"2021.bea-1.6","U19-1021","0.2"
"U19-1021","2021.bea-1.6","0.2"
"2021.nlp4posimpact-1.1","U19-1021","0.2"
"U19-1021","2021.nlp4posimpact-1.1","0.2"
"2019.ccnlg-1.6","2021.emnlp-main.632","0.5"
"2021.emnlp-main.632","2019.ccnlg-1.6","0.5"
"2019.ccnlg-1.6","W18-6706","1.5"
"W18-6706","2019.ccnlg-1.6","1.5"
"2021.emnlp-main.632","W18-6706","0.5"
"W18-6706","2021.emnlp-main.632","0.5"
"2019.ccnlg-1.6","W17-6307","1"
"W17-6307","2019.ccnlg-1.6","1"
"2020.coling-main.196","W19-8634","1.25"
"W19-8634","2020.coling-main.196","1.25"
"2020.lrec-1.722","W19-8634","3.5"
"W19-8634","2020.lrec-1.722","3.5"
"2020.coling-main.196","C18-1019","0.25"
"C18-1019","2020.coling-main.196","0.25"
