"2020.lt4hala-1.21","L16-1239","1"
"L16-1239","2020.lt4hala-1.21","1"
"C16-1331","P16-2009","1"
"P16-2009","C16-1331","1"
"C16-2013","L18-1212","0.5"
"L18-1212","C16-2013","0.5"
"C16-2013","L18-1308","1.5"
"L18-1308","C16-2013","1.5"
"L18-1212","L18-1308","0.5"
"L18-1308","L18-1212","0.5"
"C16-2013","E09-2006","0.25"
"E09-2006","C16-2013","0.25"
"C16-2013","L16-1239","0.25"
"L16-1239","C16-2013","0.25"
"C16-2013","L16-1240","0.25"
"L16-1240","C16-2013","0.25"
"C16-2013","W15-3716","0.25"
"W15-3716","C16-2013","0.25"
"E09-2006","L16-1239","0.25"
"L16-1239","E09-2006","0.25"
"E09-2006","L16-1240","0.25"
"L16-1240","E09-2006","0.25"
"E09-2006","W15-3716","0.25"
"W15-3716","E09-2006","0.25"
"L16-1239","L16-1240","0.25"
"L16-1240","L16-1239","0.25"
"L16-1239","W15-3716","1.25"
"W15-3716","L16-1239","1.25"
"L16-1240","W15-3716","0.25"
"W15-3716","L16-1240","0.25"
"C16-2013","L18-1168","1"
"L18-1168","C16-2013","1"
"L16-1677","W15-3716","1"
"W15-3716","L16-1677","1"
"P16-2009","S15-1014","1"
"S15-1014","P16-2009","1"
