"2020.emnlp-main.351","2021.naacl-main.343","1"
"2021.naacl-main.343","2020.emnlp-main.351","1"
"2020.findings-emnlp.273","K19-1062","1"
"K19-1062","2020.findings-emnlp.273","1"
"2021.emnlp-main.493","2021.naacl-demos.2","1"
"2021.naacl-demos.2","2021.emnlp-main.493","1"
"2021.naacl-main.343","D09-1008","0.25"
"D09-1008","2021.naacl-main.343","0.25"
"2021.naacl-main.343","D10-1060","0.25"
"D10-1060","2021.naacl-main.343","0.25"
"2021.naacl-main.343","J10-4005","0.25"
"J10-4005","2021.naacl-main.343","0.25"
"2021.naacl-main.343","P08-1066","0.25"
"P08-1066","2021.naacl-main.343","0.25"
"D09-1008","D10-1060","3.08333"
"D10-1060","D09-1008","3.08333"
"D09-1008","J10-4005","2.08333"
"J10-4005","D09-1008","2.08333"
"D09-1008","P08-1066","2.58333"
"P08-1066","D09-1008","2.58333"
"D10-1060","J10-4005","6.58333"
"J10-4005","D10-1060","6.58333"
"D10-1060","P08-1066","1.58333"
"P08-1066","D10-1060","1.58333"
"J10-4005","P08-1066","20.4167"
"P08-1066","J10-4005","20.4167"
"2021.naacl-main.343","K19-1062","1"
"K19-1062","2021.naacl-main.343","1"
"A00-1044","A00-2030","0.25"
"A00-2030","A00-1044","0.25"
"A00-1044","boisen-etal-2000-annotating","0.25"
"boisen-etal-2000-annotating","A00-1044","0.25"
"A00-1044","M98-1009","0.25"
"M98-1009","A00-1044","0.25"
"A00-1044","X98-1014","0.25"
"X98-1014","A00-1044","0.25"
"A00-2030","boisen-etal-2000-annotating","0.25"
"boisen-etal-2000-annotating","A00-2030","0.25"
"A00-2030","M98-1009","1.95"
"M98-1009","A00-2030","1.95"
"A00-2030","X98-1014","2.11667"
"X98-1014","A00-2030","2.11667"
"boisen-etal-2000-annotating","M98-1009","0.25"
"M98-1009","boisen-etal-2000-annotating","0.25"
"boisen-etal-2000-annotating","X98-1014","0.25"
"X98-1014","boisen-etal-2000-annotating","0.25"
"M98-1009","X98-1014","1.95"
"X98-1014","M98-1009","1.95"
"A00-2030","D10-1060","0.2"
"D10-1060","A00-2030","0.2"
"A00-2030","N06-2015","0.2"
"N06-2015","A00-2030","0.2"
"A00-2030","W11-1901","0.2"
"W11-1901","A00-2030","0.2"
"D10-1060","M98-1009","0.2"
"M98-1009","D10-1060","0.2"
"D10-1060","N06-2015","0.2"
"N06-2015","D10-1060","0.2"
"D10-1060","W11-1901","0.2"
"W11-1901","D10-1060","0.2"
"D10-1060","X98-1014","0.2"
"X98-1014","D10-1060","0.2"
"M98-1009","N06-2015","0.2"
"N06-2015","M98-1009","0.2"
"M98-1009","W11-1901","0.2"
"W11-1901","M98-1009","0.2"
"N06-2015","W11-1901","0.533333"
"W11-1901","N06-2015","0.533333"
"N06-2015","X98-1014","0.2"
"X98-1014","N06-2015","0.2"
"W11-1901","X98-1014","0.2"
"X98-1014","W11-1901","0.2"
"A00-2030","A97-1029","0.166667"
"A97-1029","A00-2030","0.166667"
"A00-2030","M92-1024","0.166667"
"M92-1024","A00-2030","0.166667"
"A00-2030","M93-1010","0.166667"
"M93-1010","A00-2030","0.166667"
"A00-2030","X93-1019","0.166667"
"X93-1019","A00-2030","0.166667"
"A00-2030","X96-1028","0.166667"
"X96-1028","A00-2030","0.166667"
"A97-1029","M92-1024","0.166667"
"M92-1024","A97-1029","0.166667"
"A97-1029","M93-1010","0.416667"
"M93-1010","A97-1029","0.416667"
"A97-1029","X93-1019","0.416667"
"X93-1019","A97-1029","0.416667"
"A97-1029","X96-1028","0.416667"
"X96-1028","A97-1029","0.416667"
"A97-1029","X98-1014","0.166667"
"X98-1014","A97-1029","0.166667"
"M92-1024","M93-1010","1"
"M93-1010","M92-1024","1"
"M92-1024","X93-1019","1.5"
"X93-1019","M92-1024","1.5"
"M92-1024","X96-1028","2.5"
"X96-1028","M92-1024","2.5"
"M92-1024","X98-1014","0.166667"
"X98-1014","M92-1024","0.166667"
"M93-1010","X93-1019","1.25"
"X93-1019","M93-1010","1.25"
"M93-1010","X96-1028","1.25"
"X96-1028","M93-1010","1.25"
"M93-1010","X98-1014","0.166667"
"X98-1014","M93-1010","0.166667"
"X93-1019","X96-1028","1.75"
"X96-1028","X93-1019","1.75"
"X93-1019","X98-1014","0.166667"
"X98-1014","X93-1019","0.166667"
"X96-1028","X98-1014","0.166667"
"X98-1014","X96-1028","0.166667"
"A83-1014","J83-3003","4.83333"
"J83-3003","A83-1014","4.83333"
"A83-1014","P82-1016","0.833333"
"P82-1016","A83-1014","0.833333"
"J83-3003","P82-1016","1.33333"
"P82-1016","J83-3003","1.33333"
"A83-1014","P84-1030","1"
"P84-1030","A83-1014","1"
"A83-1014","J80-2003","2"
"J80-2003","A83-1014","2"
"A83-1014","H86-1007","0.333333"
"H86-1007","A83-1014","0.333333"
"H86-1007","J83-3003","0.333333"
"J83-3003","H86-1007","0.333333"
"H86-1007","P82-1016","0.333333"
"P82-1016","H86-1007","0.333333"
"A97-1029","M92-1007","0.25"
"M92-1007","A97-1029","0.25"
"M92-1007","M93-1010","0.416667"
"M93-1010","M92-1007","0.416667"
"M92-1007","X93-1019","0.416667"
"X93-1019","M92-1007","0.416667"
"M92-1007","X96-1028","0.416667"
"X96-1028","M92-1007","0.416667"
"C80-1008","J80-2003","1.33333"
"J80-2003","C80-1008","1.33333"
"C80-1008","J83-3003","2"
"J83-3003","C80-1008","2"
"C80-1008","P80-1025","1.83333"
"P80-1025","C80-1008","1.83333"
"C80-1008","P82-1016","0.833333"
"P82-1016","C80-1008","0.833333"
"J80-2003","P80-1025","0.333333"
"P80-1025","J80-2003","0.333333"
"J80-2003","P82-1016","0.333333"
"P82-1016","J80-2003","0.333333"
"P80-1025","P82-1016","0.333333"
"P82-1016","P80-1025","0.333333"
"J83-3003","P80-1025","0.5"
"P80-1025","J83-3003","0.5"
"D10-1060","L18-1031","0.5"
"L18-1031","D10-1060","0.5"
"J10-4005","L18-1031","0.5"
"L18-1031","J10-4005","0.5"
"D11-1133","P11-2050","4.16667"
"P11-2050","D11-1133","4.16667"
"D11-1133","L18-1031","1"
"L18-1031","D11-1133","1"
"D11-1133","H05-1039","0.666667"
"H05-1039","D11-1133","0.666667"
"D11-1133","W10-0908","1.16667"
"W10-0908","D11-1133","1.16667"
"H05-1039","P11-2050","0.666667"
"P11-2050","H05-1039","0.666667"
"H05-1039","W10-0908","0.666667"
"W10-0908","H05-1039","0.666667"
"P11-2050","W10-0908","2.16667"
"W10-0908","P11-2050","2.16667"
"H01-1024","H01-1027","0.5"
"H01-1027","H01-1024","0.5"
"H01-1024","H05-1082","0.5"
"H05-1082","H01-1024","0.5"
"H01-1027","H05-1082","0.5"
"H05-1082","H01-1027","0.5"
"H86-1001","H86-1007","0.666667"
"H86-1007","H86-1001","0.666667"
"H86-1001","P87-1005","0.666667"
"P87-1005","H86-1001","0.666667"
"H86-1001","P90-1029","0.666667"
"P90-1029","H86-1001","0.666667"
"H86-1007","P87-1005","0.666667"
"P87-1005","H86-1007","0.666667"
"H86-1007","P90-1029","0.666667"
"P90-1029","H86-1007","0.666667"
"P87-1005","P90-1029","0.666667"
"P90-1029","P87-1005","0.666667"
"H86-1007","P84-1024","0.5"
"P84-1024","H86-1007","0.5"
"H86-1007","P84-1030","0.5"
"P84-1030","H86-1007","0.5"
"P84-1024","P84-1030","0.5"
"P84-1030","P84-1024","0.5"
"H86-1017","J83-3003","1"
"J83-3003","H86-1017","1"
"H89-1013","P87-1005","1"
"P87-1005","H89-1013","1"
"H89-1013","H91-1037","0.333333"
"H91-1037","H89-1013","0.333333"
"H89-1013","J93-2006","0.333333"
"J93-2006","H89-1013","0.333333"
"H89-1013","P89-1024","0.333333"
"P89-1024","H89-1013","0.333333"
"H91-1037","J93-2006","4.20833"
"J93-2006","H91-1037","4.20833"
"H91-1037","P89-1024","0.583333"
"P89-1024","H91-1037","0.583333"
"J93-2006","P89-1024","0.583333"
"P89-1024","J93-2006","0.583333"
"H90-1069","H91-1037","2.625"
"H91-1037","H90-1069","2.625"
"H90-1069","H91-1065","0.625"
"H91-1065","H90-1069","0.625"
"H90-1069","H92-1063","0.125"
"H92-1063","H90-1069","0.125"
"H90-1069","H93-1045","0.291667"
"H93-1045","H90-1069","0.291667"
"H90-1069","J93-2006","1.625"
"J93-2006","H90-1069","1.625"
"H90-1069","M91-1006","0.125"
"M91-1006","H90-1069","0.125"
"H90-1069","M91-1021","0.791667"
"M91-1021","H90-1069","0.791667"
"H90-1069","M92-1024","0.791667"
"M92-1024","H90-1069","0.791667"
"H91-1037","H91-1065","1.70833"
"H91-1065","H91-1037","1.70833"
"H91-1037","H92-1063","0.375"
"H92-1063","H91-1037","0.375"
"H91-1037","H93-1045","0.541667"
"H93-1045","H91-1037","0.541667"
"H91-1037","M91-1006","0.375"
"M91-1006","H91-1037","0.375"
"H91-1037","M91-1021","0.625"
"M91-1021","H91-1037","0.625"
"H91-1037","M92-1024","0.875"
"M92-1024","H91-1037","0.875"
"H91-1065","H92-1063","0.125"
"H92-1063","H91-1065","0.125"
"H91-1065","H93-1045","0.291667"
"H93-1045","H91-1065","0.291667"
"H91-1065","J93-2006","1.375"
"J93-2006","H91-1065","1.375"
"H91-1065","M91-1006","0.125"
"M91-1006","H91-1065","0.125"
"H91-1065","M91-1021","0.625"
"M91-1021","H91-1065","0.625"
"H91-1065","M92-1024","0.625"
"M92-1024","H91-1065","0.625"
"H92-1063","H93-1045","0.375"
"H93-1045","H92-1063","0.375"
"H92-1063","J93-2006","0.125"
"J93-2006","H92-1063","0.125"
"H92-1063","M91-1006","1.54167"
"M91-1006","H92-1063","1.54167"
"H92-1063","M91-1021","0.125"
"M91-1021","H92-1063","0.125"
"H92-1063","M92-1024","0.541667"
"M92-1024","H92-1063","0.541667"
"H93-1045","J93-2006","1.29167"
"J93-2006","H93-1045","1.29167"
"H93-1045","M91-1006","0.375"
"M91-1006","H93-1045","0.375"
"H93-1045","M91-1021","0.291667"
"M91-1021","H93-1045","0.291667"
"H93-1045","M92-1024","0.541667"
"M92-1024","H93-1045","0.541667"
"J93-2006","M91-1006","0.125"
"M91-1006","J93-2006","0.125"
"J93-2006","M91-1021","0.291667"
"M91-1021","J93-2006","0.291667"
"J93-2006","M92-1024","0.291667"
"M92-1024","J93-2006","0.291667"
"M91-1006","M91-1021","0.125"
"M91-1021","M91-1006","0.125"
"M91-1006","M92-1024","0.541667"
"M92-1024","M91-1006","0.541667"
"M91-1021","M92-1024","1.125"
"M92-1024","M91-1021","1.125"
"H91-1037","P90-1029","0.25"
"P90-1029","H91-1037","0.25"
"H91-1065","P89-1024","0.25"
"P89-1024","H91-1065","0.25"
"H91-1065","P90-1029","0.25"
"P90-1029","H91-1065","0.25"
"J93-2006","P90-1029","0.25"
"P90-1029","J93-2006","0.25"
"P89-1024","P90-1029","0.25"
