"250","benoit sagot","536","99","668","13"
"18596","pascal amsili","3793","15","43","3"
"39917","pollet samvelian","40393","4","10","-1"
"43007","jacques farre","57273","7","13","-1"
"28085","laurence danlos","1233","43","273","9"
"24529","giorgio satta","266","72","1260","17"
"22715","samuel humeau","20993","5","65","-1"
"6937","jacopo staiano","3310","13","55","4"
"249","arij riabi","21937","2",\N,"-1"
"22193","abhishek srivastava","20487","2",\N,"-1"
"167","djame seddah","758","56","418","11"
"3345","benjamin muller","24215","8","1","-1"
"2509","lucia specia","110","199","2947","24"
"4704","srinivas bangalore","154","65","1890","21"
"43391","lionel clement","3141","11","154","4"
"7140","carolina scarton","2204","41","439","6"
"43065","elsa tolone","57328","4","6","-1"
"37976","margot colinet","38531","2",\N,"-1"
"30098","christophe benzitoun","37871","5","0","-1"
"263","yves scherrer","1597","50","156","7"
"17806","pedro suarez","9442","6",\N,"-1"
"12015","ganesh jawahar","24567","7","48","-1"
"46758","miguel molinero","50526","5","34","-1"
"39870","valerie hanoka","40348","2","3","-1"
"10472","karen fort","1148","42","342","9"
"47160","joan verges","50905","1","2","-1"
"20634","hector alonso","1186","40","316","9"
"5706","yoann dupont","4835","16","5","1"
"15790","pierre magistry","3728","16","32","3"
"44937","helena blancafort","59122","6","2","-1"
"7686","clementine fourrier","7946","4",\N,"-1"
"6298","ozlem ccetinouglu","1173","28","241","9"
"25397","amir more","16544","5","14","-1"
"2673","marianna apidianaki","1444","51","418","8"
"36080","gaelle recource","54078","3",\N,"-1"
"32743","jana strnadova","47435","2","32","-1"
"17824","louis martin","9459","7","10","-1"
"832","antonios anastasopoulos","2313","47","142","6"
"5596","philippe muller","1165","42","219","9"
"5812","alexis nasr","967","53","427","10"
"1658","fernando alvamanchego","4404","13","18","2"
"18073","lucie barque","4533","11","14","2"
"8874","yanai elazar","4009","15","48","3"
"517","nizar habash","38","194","3739","32"
"42263","rosa stern","56555","8","24","-1"
"47159","miguel pardo","50904","4","35","-1"
"47158","elena trigo","50903","1","2","-1"
"9785","rachel keraron","12887","2",\N,"-1"
"43434","marion richard","57680","1","0","-1"
"6936","thomas scialom","4671","12","11","2"
"29836","joseph mariani","2945","15","63","5"
"1354","owen rambow","39","152","4808","32"
"39918","pegah faghiri","40394","3","10","-1"
"7687","rachel bawden","4686","21","43","2"
"17441","laurent romary","478","46","1035","14"
"22625","matthieu futeral","20906","1",\N,"-1"
"5249","reut tsarfaty","511","43","723","13"
"42104","emmanuel eckard","56401","2","0","-1"
"46836","pierre boullier","1360","19","213","8"
"3003","lionel nicolas","3570","17","54","4"
"16752","gael chalendar","2474","18","74","5"
"17825","eric clergerie","638","57","491","12"
"852","antoine bordes","1063","19","943","9"
"443","darja fivser","1424","30","201","8"
"18075","richard huyghe","9658","3","6","-1"
"22623","farah essaidi","20904","1",\N,"-1"
"38171","yvette mathieu","38722","5","44","-1"
"35499","seyed mirroshandel","2040","12","66","6"
"11461","pascal denis","1008","28","594","10"
"14736","gilles adda","1106","26","404","9"
"35314","marianne djemaa","53348","4","12","-1"
"21816","murielle popafabre","20123","1",\N,"-1"
"43793","vanessa combet","58034","3","26","-1"
"32109","amaury delamaire","46828","1","0","-1"
"22563","kata gabor","3986","11","42","3"
"7013","farah benamara","733","31","272","11"
"11539","ccaugri ccoltekin","2578","33","136","5"
"25749","pierreemmanuel mazare","16879","3","55","-1"
"29833","geraldine walther","37627","7","32","-1"
"17997","frederic bechet","937","57","390","10"
"22624","amal fethi","20905","2","1","-1"
"5289","gael guibon","4988","10","0","0"
"14288","dima taji","3713","11","48","3"
"18767","marion baranes","10286","5","3","-1"
"16504","marie candito","738","40","517","11"
"35315","laure vieu","3089","13","90","4"
"44921","bernard lang","59107","6","265","-1"
"18074","pauline haas","9657","4","6","-1"
"44363","javier couto","4290","9","18","2"
"5824","joseph roux","1514","33","252","8"
"12337","damien nouvel","3688","16","18","3"
"19312","virginie mouilleron","10785","5","19","-1"
"46599","denis teyssou","50371","1",\N,"-1"
