"1267","collin baker","319","25","4276","16"
"16303","nancy ide","119","70","2658","24"
"33924","caroline sporleder","431","35","696","14"
"52658","srinivas narayanan","42169","1","5","-1"
"5441","swabha swayamdipta","2174","18","267","6"
"37049","jisup hong","55009","2","41","-1"
"3978","gerard melo","654","55","458","12"
"6136","christiane fellbaum","395","36","617","15"
"5465","roser morante","661","44","692","12"
"1266","michael ellsworth","4105","9","114","3"
"19306","arthur lorenzi","10780","1",\N,"-1"
"37008","david huynh","54970","2","9","-1"
"794","nathan schneider","315","69","2313","16"
"27310","john lowe","35273","8","3800","-1"
"43090","hiroaki sato","57353","7","121","-1"
"22944","nancy chang","21211","7","403","-1"
"2274","katrin erk","126","59","1800","23"
"4859","martha palmer","31","188","9415","34"
"53723","charles wooters","43215","1","100","-1"
"721","rebecca passonneau","161","60","2775","21"
"43376","charles fillmore","887","12","4145","10"
"13491","praveen paritosh","25914","2","7","-1"
"16284","rafael munoz","2427","26","197","6"
"1268","miriam petruck","4106","15","37","3"
"42313","oscar ferrandez","56605","7","86","-1"
"3382","josef ruppenhofer","776","54","456","11"
