2020.semeval-1.98,{S}em{E}val-2020 Task 7: Assessing Humor in Edited News Headlines,2020,-1,-1,3,0,15129,nabil hossain,Proceedings of the Fourteenth Workshop on Semantic Evaluation,0,0,0.0,0.0
N19-1012,{``}President Vows to Cut {\\textless}Taxes{\\textgreater} Hair{''}: Dataset and Analysis of Creative Text Editing for Humorous Headlines,2019,27,0,3,0,15129,nabil hossain,"Proceedings of the 2019 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers)",0,0,-0.05069224982182457,-0.11236651625727577
D19-1505,Modeling the Relationship between User Comments and Edits in Document Revision,2019,0,0,3,0,4557,xuchao zhang,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),0,0,-0.031362483355824,-0.032453646393453
N16-1171,Activity Modeling in Email,2016,24,10,2,0,29454,ashequl qadir,Proceedings of the 2016 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies,0,0,0.20928650955052,-2.5369420753719454
D15-1174,Representing Text for Joint Embedding of Text and Knowledge Bases,2015,31,215,6,0,9781,kristina toutanova,Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing,0,0,-0.031362483355824,-0.032453646393453
P14-1143,Smart Selection,2014,0,0,2,0,34734,patrick pantel,Proceedings of the 52nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),1,0,0.0,0.0
D14-1002,Modeling Interestingness with Deep Neural Networks,2014,123,138,3,0,3502,jianfeng gao,Proceedings of the 2014 Conference on Empirical Methods in Natural Language Processing ({EMNLP}),0,0,-0.031362483355824,-0.032453646393453
C14-1140,Predicting Interesting Things in Text,2014,28,10,1,1,15131,michael gamon,"Proceedings of {COLING} 2014, the 25th International Conference on Computational Linguistics: Technical Papers",0,0,-0.6651916164213737,1.0209936858248427
R13-1055,Revisiting the Old Kitchen Sink: Do we Need Sentiment Domain Adaptation?,2013,17,7,3,0,26353,riham mansour,Proceedings of the International Conference Recent Advances in Natural Language Processing {RANLP} 2013,0,0,0.0,0.0
P12-1059,Mining Entity Types from Query Logs via User Intent Modeling,2012,27,45,3,0,34734,patrick pantel,Proceedings of the 50th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),1,0,0.0,0.0
N12-3006,"{MSR} {SPLAT}, a language analysis toolkit",2012,13,30,6,0,4460,chris quirk,Proceedings of the Demonstration Session at the Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies,0,0,-0.1695879621197861,-0.2555980910055867
N12-1074,Predicting Responses to Microblog Posts,2012,31,73,3,0,6799,yoav artzi,Proceedings of the 2012 Conference of the North {A}merican Chapter of the Association for Computational Linguistics: Human Language Technologies,0,0,0.0,0.0
C12-1143,Underspecified Query Refinement via Natural Language Question Generation,2012,14,3,3,0,3156,hassan sajjad,Proceedings of {COLING} 2012,0,0,0.3884936553876094,-0.5864032848636136
W11-1825,{MSR}-{NLP} Entry in {B}io{NLP} Shared Task 2011,2011,16,24,3,0,4460,chris quirk,Proceedings of {B}io{NLP} Shared Task 2011 Workshop,0,0,0.5395521994207387,-0.1657942191061485
W11-1422,High-Order Sequence Modeling for Language Learner Error Detection,2011,29,19,1,1,15131,michael gamon,Proceedings of the Sixth Workshop on Innovative Use of {NLP} for Building Educational Applications,0,0,-0.05600143163418515,-0.07450354818285555
W10-1005,Search right and thou shalt find ... Using Web Queries for Learner Error Detection,2010,19,12,1,1,15131,michael gamon,Proceedings of the {NAACL} {HLT} 2010 Fifth Workshop on Innovative Use of {NLP} for Building Educational Applications,0,0,0.0,0.0
N10-1019,Using Mostly Native Data to Correct Errors in Learners{'} Writing,2010,25,37,1,1,15131,michael gamon,Human Language Technologies: The 2010 Annual Conference of the North {A}merican Chapter of the Association for Computational Linguistics,0,0,-0.05600143163418515,-0.07450354818285555
W09-2111,User Input and Interactions on {M}icrosoft {R}esearch {ESL} Assistant,2009,20,16,2,0,40176,claudia leacock,Proceedings of the Fourth Workshop on Innovative Use of {NLP} for Building Educational Applications,0,0,-0.031362483355824,-0.032453646393453
I08-1059,Using Contextual Speller Techniques and Language Modeling for {ESL} Error Correction,2008,20,118,1,1,15131,michael gamon,Proceedings of the Third International Joint Conference on Natural Language Processing: Volume-{I},0,0,-0.2889354164302384,-0.16844010849771926
J07-2010,"Book Reviews: Computing Attitude and Affect in Text: Theory and Applications, edited by {J}ames {G}. Shanahan, Yan Qu, and Janyce Wiebe",2007,0,0,1,1,15131,michael gamon,Computational Linguistics,0,0,0.0,0.0
W06-3803,Graph-Based Text Representation for Novelty Detection,2006,21,34,1,1,15131,michael gamon,Proceedings of {T}ext{G}raphs: the First Workshop on Graph Based Methods for Natural Language Processing,0,0,0.2776337335288787,-0.19511070700392805
P06-2058,Obfuscating Document Stylometry to Preserve Author Anonymity,2006,11,56,2,0,49933,gary kacmarcik,Proceedings of the {COLING}/{ACL} 2006 Main Conference Poster Sessions,0,0,0.17354236069231366,-0.18810657238091624
P06-1032,Correcting {ESL} Errors Using Phrasal {SMT} Techniques,2006,17,147,3,0,4421,chris brockett,Proceedings of the 21st International Conference on Computational Linguistics and 44th Annual Meeting of the Association for Computational Linguistics,1,0,0.3296417131008727,-0.21222918075160319
W05-0408,Automatic Identification of Sentiment Vocabulary: Exploiting Low Association with Known Sentiment Terms,2005,14,97,1,1,15131,michael gamon,Proceedings of the {ACL} Workshop on Feature Engineering for Machine Learning in Natural Language Processing,0,0,0.4007995010287695,0.0760415931106285
2005.eamt-1.15,Sentence-level {MT} evaluation without reference translations: beyond language modeling,2005,20,86,1,1,15131,michael gamon,Proceedings of the 10th EAMT Conference: Practical applications of machine translation,0,0,-0.007026686606467089,-0.2771319697810883
